CommunityName,Category,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
ALYTH/BONNYBROOK,Commercial Break & Enter,3,2,2,2,,2,1,,,5,3,2
ALYTH/BONNYBROOK,Theft OF Vehicle,,,1,1,1,3,4,,1,1,1,
ALYTH/BONNYBROOK,Theft FROM Vehicle,1,1,,,2,,1,,3,2,6,3
ALYTH/BONNYBROOK,Social Disorder,10,13,13,12,9,12,12,7,16,12,10,4
ALYTH/BONNYBROOK,Physical Disorder,3,,,2,3,2,1,2,,4,5,1
,,,,,,,,,,,,,
APPLEWOOD PARK,Assault (Non-domestic),2,1,1,2,,,1,,1,,2,
APPLEWOOD PARK,Commercial Robbery,,,,1,,,,,1,,,
APPLEWOOD PARK,Street Robbery,,,,,,,,,1,,,
APPLEWOOD PARK,Violence  'Other' (Non-domestic),,,,,2,,,,,,,
APPLEWOOD PARK,Residential Break & Enter,,2,8,3,,4,2,5,,3,1,2
APPLEWOOD PARK,Commercial Break & Enter,,,,,,1,,2,,,1,1
APPLEWOOD PARK,Theft OF Vehicle,3,2,4,4,4,1,4,1,2,5,4,7
APPLEWOOD PARK,Theft FROM Vehicle,1,3,7,2,2,6,3,3,4,5,9,4
APPLEWOOD PARK,Social Disorder,18,27,33,35,31,42,28,32,26,29,28,20
APPLEWOOD PARK,Physical Disorder,3,2,1,2,3,2,1,4,4,6,4,2
,,,,,,,,,,,,,
ARBOUR LAKE,Assault (Non-domestic),,,2,3,2,,,,,,1,
ARBOUR LAKE,Commercial Robbery,,,,,,,,,1,,,
ARBOUR LAKE,Street Robbery,,,,,,,1,,,,,1
ARBOUR LAKE,Violence  'Other' (Non-domestic),1,,,1,,1,,2,,3,1,
ARBOUR LAKE,Residential Break & Enter,3,3,,,1,,1,2,1,2,,
ARBOUR LAKE,Commercial Break & Enter,2,1,,4,1,10,,1,,2,1,
ARBOUR LAKE,Theft OF Vehicle,5,1,1,4,2,3,4,1,2,8,5,3
ARBOUR LAKE,Theft FROM Vehicle,5,9,1,7,4,10,7,3,4,5,5,5
ARBOUR LAKE,Social Disorder,57,57,72,75,49,54,52,66,71,49,50,41
ARBOUR LAKE,Physical Disorder,3,1,3,5,1,2,5,2,2,3,4,5
,,,,,,,,,,,,,
ASPEN WOODS,Assault (Non-domestic),,,,1,,,,,1,2,,
ASPEN WOODS,Commercial Robbery,,,,,,,,,,,,
ASPEN WOODS,Street Robbery,,,,,,,,,,,,
ASPEN WOODS,Violence  'Other' (Non-domestic),,,,,,1,,,,,1,
ASPEN WOODS,Residential Break & Enter,3,1,5,3,1,5,5,6,,,2,3
ASPEN WOODS,Commercial Break & Enter,,1,1,1,1,3,1,,,2,,
ASPEN WOODS,Theft OF Vehicle,1,,,1,,1,,1,2,,,1
ASPEN WOODS,Theft FROM Vehicle,1,1,4,3,2,1,,2,,2,4,2
ASPEN WOODS,Social Disorder,14,21,13,16,8,19,21,9,17,18,20,15
ASPEN WOODS,Physical Disorder,,,,5,2,2,2,,2,,1,3
,,,,,,,,,,,,,
AUBURN BAY,Assault (Non-domestic),,,,,,,,,,,3,
AUBURN BAY,Commercial Robbery,,,,,,,,,,,,
AUBURN BAY,Street Robbery,,,,,,,,,,,,
AUBURN BAY,Violence  'Other' (Non-domestic),,,,,,,1,,1,,1,1
AUBURN BAY,Residential Break & Enter,3,3,4,1,3,3,4,2,7,3,5,1
AUBURN BAY,Commercial Break & Enter,2,2,1,,,8,,,3,2,2,1
AUBURN BAY,Theft OF Vehicle,3,1,1,2,1,3,3,3,5,4,5,2
AUBURN BAY,Theft FROM Vehicle,1,4,4,2,6,14,4,3,11,13,12,6
AUBURN BAY,Social Disorder,20,25,42,24,24,26,44,28,29,32,35,34
AUBURN BAY,Physical Disorder,1,3,2,5,1,2,1,2,2,3,2,5
,,,,,,,,,,,,,
AURORA BUSINESS PARK,Assault (Non-domestic),,,,,,,,,,,1,
AURORA BUSINESS PARK,Commercial Robbery,,,,,,,,,,,,
AURORA BUSINESS PARK,Street Robbery,,,,,,,,,,,,
AURORA BUSINESS PARK,Violence  'Other' (Non-domestic),,,,,,,,,,,1,
AURORA BUSINESS PARK,Residential Break & Enter,,,,,,,,,,,,
AURORA BUSINESS PARK,Commercial Break & Enter,,,,,,,,,,,,
AURORA BUSINESS PARK,Theft OF Vehicle,,,,,,,,,,,,
AURORA BUSINESS PARK,Theft FROM Vehicle,,,,,,,,,,2,,
AURORA BUSINESS PARK,Social Disorder,3,,4,4,2,1,1,2,4,,4,2
AURORA BUSINESS PARK,Physical Disorder,,,,,,1,,,,,,
,,,,,,,,,,,,,
BANFF TRAIL,Assault (Non-domestic),1,1,4,,1,2,2,1,4,3,2,
BANFF TRAIL,Commercial Robbery,,,,,,,,,,,,1
BANFF TRAIL,Street Robbery,1,,,,,,,,,,,
BANFF TRAIL,Violence  'Other' (Non-domestic),,1,,,1,1,1,1,1,,2,
BANFF TRAIL,Residential Break & Enter,1,,5,1,3,,2,7,4,1,8,1
BANFF TRAIL,Commercial Break & Enter,1,1,3,1,1,1,2,1,2,1,4,6
BANFF TRAIL,Theft OF Vehicle,1,2,,2,1,3,4,1,2,2,1,4
BANFF TRAIL,Theft FROM Vehicle,3,5,1,7,9,7,5,3,6,4,3,7
BANFF TRAIL,Social Disorder,42,42,52,56,45,50,51,40,53,51,54,53
BANFF TRAIL,Physical Disorder,,2,1,6,6,4,2,2,3,2,1,2
,,,,,,,,,,,,,
BANKVIEW,Assault (Non-domestic),,,1,1,,,1,1,2,,2,
BANKVIEW,Commercial Robbery,,,,,,,,,,,,
BANKVIEW,Street Robbery,,1,1,1,,,,,,1,,
BANKVIEW,Violence  'Other' (Non-domestic),1,,,1,,,1,,,1,1,
BANKVIEW,Residential Break & Enter,3,1,1,3,2,1,1,,,7,5,5
BANKVIEW,Commercial Break & Enter,1,3,1,2,1,2,2,1,,3,8,12
BANKVIEW,Theft OF Vehicle,1,3,4,4,4,5,12,3,5,3,8,7
BANKVIEW,Theft FROM Vehicle,3,5,7,7,12,6,8,12,15,17,12,7
BANKVIEW,Social Disorder,55,52,65,98,76,78,93,78,85,73,59,46
BANKVIEW,Physical Disorder,6,5,,4,5,3,2,1,,2,7,6
,,,,,,,,,,,,,
BAYVIEW,Assault (Non-domestic),,,,,,,,,,,,
BAYVIEW,Commercial Robbery,,,,,,,,,,,,
BAYVIEW,Street Robbery,,,,,,,,,,,,
BAYVIEW,Violence  'Other' (Non-domestic),,,,,,,,,,1,,
BAYVIEW,Residential Break & Enter,2,,,1,,,1,3,,,,
BAYVIEW,Commercial Break & Enter,,,,,,,,,,,,
BAYVIEW,Theft OF Vehicle,,,,,,,,,2,,,1
BAYVIEW,Theft FROM Vehicle,,1,,2,,,,1,2,,,1
BAYVIEW,Social Disorder,,4,5,4,2,2,7,6,6,6,1,2
BAYVIEW,Physical Disorder,,,,2,1,,3,1,,1,1,2
,,,,,,,,,,,,,
BEDDINGTON HEIGHTS,Assault (Non-domestic),,1,1,2,1,,2,,,,3,2
BEDDINGTON HEIGHTS,Commercial Robbery,1,,3,1,,,,1,,,,
BEDDINGTON HEIGHTS,Street Robbery,,,1,1,,,,,,,,
BEDDINGTON HEIGHTS,Violence  'Other' (Non-domestic),1,1,1,2,2,2,,,,,1,
BEDDINGTON HEIGHTS,Residential Break & Enter,3,4,2,1,3,5,3,1,4,5,3,2
BEDDINGTON HEIGHTS,Commercial Break & Enter,,,,,1,1,1,3,3,3,,
BEDDINGTON HEIGHTS,Theft OF Vehicle,8,1,2,,3,2,5,5,3,5,4,4
BEDDINGTON HEIGHTS,Theft FROM Vehicle,12,5,13,11,10,14,4,2,4,8,10,3
BEDDINGTON HEIGHTS,Social Disorder,36,33,53,48,48,51,60,53,46,43,32,29
BEDDINGTON HEIGHTS,Physical Disorder,4,1,5,3,5,7,3,5,3,4,5,7
,,,,,,,,,,,,,
BEL-AIRE,Assault (Non-domestic),,,,,,,,,,,,
BEL-AIRE,Commercial Robbery,,,,,,,,,,,,
BEL-AIRE,Street Robbery,,,,,,,,,,,,
BEL-AIRE,Violence  'Other' (Non-domestic),,,,,,,,,,,,
BEL-AIRE,Residential Break & Enter,,,1,1,,,,,,,,
BEL-AIRE,Commercial Break & Enter,,,,,,1,,,,,,
BEL-AIRE,Theft OF Vehicle,,,,,,,1,1,,,,
BEL-AIRE,Theft FROM Vehicle,,,,,,,2,,,,1,
BEL-AIRE,Social Disorder,1,2,4,5,,1,2,1,,7,1,2
BEL-AIRE,Physical Disorder,,,,,,,,1,,,,
,,,,,,,,,,,,,
BELTLINE,Assault (Non-domestic),14,19,12,17,21,26,21,17,23,29,22,13
BELTLINE,Commercial Robbery,1,,,1,1,1,,1,,,,
BELTLINE,Street Robbery,2,2,3,3,6,2,6,5,3,2,2,2
BELTLINE,Violence  'Other' (Non-domestic),6,6,4,9,8,5,5,6,6,3,5,6
BELTLINE,Residential Break & Enter,5,3,9,1,4,3,2,1,6,4,3,
BELTLINE,Commercial Break & Enter,21,21,12,16,11,15,12,15,15,17,19,16
BELTLINE,Theft OF Vehicle,7,7,21,21,8,7,12,9,16,11,6,13
BELTLINE,Theft FROM Vehicle,38,45,38,45,40,36,47,51,46,56,43,21
BELTLINE,Social Disorder,526,565,535,590,572,543,631,647,600,615,571,439
BELTLINE,Physical Disorder,24,22,25,34,25,24,25,30,21,23,24,27
,,,,,,,,,,,,,
BONAVISTA DOWNS,Assault (Non-domestic),,,,,,,,,,,,
BONAVISTA DOWNS,Commercial Robbery,,,,,,,,,,,,
BONAVISTA DOWNS,Street Robbery,,,,,,,,,,,,
BONAVISTA DOWNS,Violence  'Other' (Non-domestic),,,,1,,,,,,,,
BONAVISTA DOWNS,Residential Break & Enter,3,1,3,2,1,,,1,,,,
BONAVISTA DOWNS,Commercial Break & Enter,,,,,,,,,,,,
BONAVISTA DOWNS,Theft OF Vehicle,1,,1,,,,1,,,,,
BONAVISTA DOWNS,Theft FROM Vehicle,1,,,,3,,,1,1,,,
BONAVISTA DOWNS,Social Disorder,2,4,6,5,4,9,6,7,3,,4,2
BONAVISTA DOWNS,Physical Disorder,,,1,,2,,,,,,,
,,,,,,,,,,,,,
BOWNESS,Assault (Non-domestic),3,3,1,3,6,2,1,4,9,6,4,3
BOWNESS,Commercial Robbery,2,,,,,,,,,,1,1
BOWNESS,Street Robbery,,,,,,,1,,,,1,
BOWNESS,Violence  'Other' (Non-domestic),2,,,5,,2,2,1,,,3,
BOWNESS,Residential Break & Enter,5,1,8,7,3,3,6,2,4,3,4,2
BOWNESS,Commercial Break & Enter,,4,1,9,5,5,2,,1,2,2,1
BOWNESS,Theft OF Vehicle,10,5,11,4,7,4,5,6,4,3,4,6
BOWNESS,Theft FROM Vehicle,6,13,6,12,10,14,12,9,3,19,14,7
BOWNESS,Social Disorder,56,71,94,88,72,91,108,141,75,65,103,73
BOWNESS,Physical Disorder,3,5,3,5,7,12,4,4,7,5,3,11
,,,,,,,,,,,,,
BRAESIDE,Assault (Non-domestic),2,1,,,1,1,1,1,1,,3,1
BRAESIDE,Commercial Robbery,,,1,,,,1,,,,1,
BRAESIDE,Street Robbery,,,1,,,,,,,,,
BRAESIDE,Violence  'Other' (Non-domestic),1,,2,2,,,,1,,1,,1
BRAESIDE,Residential Break & Enter,8,,1,2,,,2,3,4,1,1,1
BRAESIDE,Commercial Break & Enter,,,1,,,,,,1,,,
BRAESIDE,Theft OF Vehicle,5,1,3,,,2,2,2,3,,2,2
BRAESIDE,Theft FROM Vehicle,3,5,2,2,3,4,7,2,9,2,,2
BRAESIDE,Social Disorder,34,25,24,27,23,21,27,33,28,29,22,19
BRAESIDE,Physical Disorder,,3,1,1,3,,1,,3,,,
,,,,,,,,,,,,,
BRENTWOOD,Assault (Non-domestic),1,1,2,2,4,1,1,2,2,3,1,
BRENTWOOD,Commercial Robbery,1,,1,,,,1,2,,,,
BRENTWOOD,Street Robbery,,,,,,1,,,,,,
BRENTWOOD,Violence  'Other' (Non-domestic),1,,1,,,1,1,,1,,2,
BRENTWOOD,Residential Break & Enter,1,,,4,2,4,7,3,,5,3,
BRENTWOOD,Commercial Break & Enter,1,2,,3,1,3,5,,1,1,,2
BRENTWOOD,Theft OF Vehicle,,5,4,,4,2,3,3,5,9,,2
BRENTWOOD,Theft FROM Vehicle,3,15,8,6,10,4,7,4,4,8,9,2
BRENTWOOD,Social Disorder,37,44,44,48,47,32,57,33,27,34,40,28
BRENTWOOD,Physical Disorder,2,7,2,2,6,4,1,2,,1,6,1
,,,,,,,,,,,,,
BRIDGELAND/RIVERSIDE,Assault (Non-domestic),2,1,2,3,4,2,4,2,1,2,3,3
BRIDGELAND/RIVERSIDE,Commercial Robbery,,,,,,,,,1,,,
BRIDGELAND/RIVERSIDE,Street Robbery,1,,,1,,2,1,,,,,
BRIDGELAND/RIVERSIDE,Violence  'Other' (Non-domestic),,,1,,,1,1,2,,1,1,1
BRIDGELAND/RIVERSIDE,Residential Break & Enter,1,2,4,9,1,3,2,5,9,4,4,3
BRIDGELAND/RIVERSIDE,Commercial Break & Enter,9,6,2,5,6,5,3,2,4,7,7,7
BRIDGELAND/RIVERSIDE,Theft OF Vehicle,4,8,7,7,9,2,7,3,3,3,6,4
BRIDGELAND/RIVERSIDE,Theft FROM Vehicle,7,11,8,9,14,12,15,12,12,12,19,10
BRIDGELAND/RIVERSIDE,Social Disorder,73,83,109,100,121,89,100,107,81,90,80,58
BRIDGELAND/RIVERSIDE,Physical Disorder,5,5,2,9,7,6,2,5,4,5,3,5
,,,,,,,,,,,,,
BRIDLEWOOD,Assault (Non-domestic),,1,1,,1,,1,1,,2,,
BRIDLEWOOD,Commercial Robbery,,,1,,,,1,,,1,,
BRIDLEWOOD,Street Robbery,1,,,,,,,,,,,
BRIDLEWOOD,Violence  'Other' (Non-domestic),,,1,,,,2,,1,,,
BRIDLEWOOD,Residential Break & Enter,,1,,1,1,1,3,2,4,3,3,
BRIDLEWOOD,Commercial Break & Enter,,1,,,,1,,,2,,3,
BRIDLEWOOD,Theft OF Vehicle,3,3,3,1,3,1,2,4,1,4,6,1
BRIDLEWOOD,Theft FROM Vehicle,,10,4,3,5,1,5,5,5,4,10,
BRIDLEWOOD,Social Disorder,17,18,34,31,30,44,37,43,25,23,17,22
BRIDLEWOOD,Physical Disorder,4,2,5,2,2,6,,3,3,4,6,2
,,,,,,,,,,,,,
BRITANNIA,Assault (Non-domestic),,,,,,,,,,,,
BRITANNIA,Commercial Robbery,,,,,,,,,,,,
BRITANNIA,Street Robbery,,,,,,,,,,,,
BRITANNIA,Violence  'Other' (Non-domestic),,,,,,,,,,,,
BRITANNIA,Residential Break & Enter,,1,2,,,1,,,1,,,
BRITANNIA,Commercial Break & Enter,,1,,,1,,,1,,,,2
BRITANNIA,Theft OF Vehicle,1,,,,1,,1,,,,,
BRITANNIA,Theft FROM Vehicle,,1,1,,,1,1,1,1,2,2,2
BRITANNIA,Social Disorder,2,5,5,4,5,9,7,6,8,6,4,5
BRITANNIA,Physical Disorder,,,2,1,1,,,,,,,
,,,,,,,,,,,,,
BURNS INDUSTRIAL,Assault (Non-domestic),,,1,,,1,,,1,,1,
BURNS INDUSTRIAL,Commercial Robbery,,,,,,,,,,,,
BURNS INDUSTRIAL,Street Robbery,,,,,,,,,,,,
BURNS INDUSTRIAL,Violence  'Other' (Non-domestic),,,,,,1,,,,,,
BURNS INDUSTRIAL,Residential Break & Enter,,,,1,,,,,,,,
BURNS INDUSTRIAL,Commercial Break & Enter,2,,1,6,4,,1,,2,3,1,1
BURNS INDUSTRIAL,Theft OF Vehicle,4,,,,4,2,,1,3,4,,1
BURNS INDUSTRIAL,Theft FROM Vehicle,,1,5,3,2,,2,5,2,1,,1
BURNS INDUSTRIAL,Social Disorder,3,1,6,3,12,10,7,4,7,3,5,3
BURNS INDUSTRIAL,Physical Disorder,1,1,,3,,1,1,3,,,,1
,,,,,,,,,,,,,
CALGARY INTERNATIONAL AIRPORT,Assault (Non-domestic),2,2,1,,2,,1,1,1,,2,2
CALGARY INTERNATIONAL AIRPORT,Commercial Robbery,,,,,,,,,,,,
CALGARY INTERNATIONAL AIRPORT,Street Robbery,,,,,,,,,,1,,
CALGARY INTERNATIONAL AIRPORT,Violence  'Other' (Non-domestic),2,,2,,,1,,,,,1,1
CALGARY INTERNATIONAL AIRPORT,Residential Break & Enter,,,,,,,,,,,,
CALGARY INTERNATIONAL AIRPORT,Commercial Break & Enter,,,1,2,,2,1,,,,,
CALGARY INTERNATIONAL AIRPORT,Theft OF Vehicle,1,4,2,2,,1,4,1,2,,2,
CALGARY INTERNATIONAL AIRPORT,Theft FROM Vehicle,3,7,1,8,2,2,3,3,3,4,4,5
CALGARY INTERNATIONAL AIRPORT,Social Disorder,13,11,15,8,20,16,14,13,12,16,15,14
CALGARY INTERNATIONAL AIRPORT,Physical Disorder,1,6,3,5,1,2,4,6,5,4,3,3
,,,,,,,,,,,,,
CAMBRIAN HEIGHTS,Assault (Non-domestic),,,,,,,,,,,,
CAMBRIAN HEIGHTS,Commercial Robbery,,,,,,,,,,,,
CAMBRIAN HEIGHTS,Street Robbery,,,,,,,1,,1,,,
CAMBRIAN HEIGHTS,Violence  'Other' (Non-domestic),,,,,,,,1,,,,
CAMBRIAN HEIGHTS,Residential Break & Enter,2,1,,1,,1,,,,3,,3
CAMBRIAN HEIGHTS,Commercial Break & Enter,,,1,,1,,,,,,,
CAMBRIAN HEIGHTS,Theft OF Vehicle,,,1,,2,1,,,1,,,
CAMBRIAN HEIGHTS,Theft FROM Vehicle,3,1,,,1,3,1,,,1,,1
CAMBRIAN HEIGHTS,Social Disorder,8,3,11,12,6,5,10,15,12,7,9,5
CAMBRIAN HEIGHTS,Physical Disorder,,2,1,2,,1,,,1,,1,
,,,,,,,,,,,,,
CANADA OLYMPIC PARK,Assault (Non-domestic),,,,,,,,,,,,
CANADA OLYMPIC PARK,Commercial Robbery,,,,,,,,,,,,
CANADA OLYMPIC PARK,Street Robbery,,,,,,,,,,,,
CANADA OLYMPIC PARK,Violence  'Other' (Non-domestic),,,1,,,,,,,,,
CANADA OLYMPIC PARK,Residential Break & Enter,,,,,,1,,,,,,
CANADA OLYMPIC PARK,Commercial Break & Enter,,,,3,,,,,,,,
CANADA OLYMPIC PARK,Theft OF Vehicle,,1,,,,1,,,,,,
CANADA OLYMPIC PARK,Theft FROM Vehicle,,3,,1,,1,1,1,,1,1,4
CANADA OLYMPIC PARK,Social Disorder,1,2,2,2,3,1,2,1,,1,2,
CANADA OLYMPIC PARK,Physical Disorder,1,,1,2,,,1,,,1,,
,,,,,,,,,,,,,
CANYON MEADOWS,Assault (Non-domestic),,,,,1,,1,,2,1,1,1
CANYON MEADOWS,Commercial Robbery,,,2,1,,,,,,1,,
CANYON MEADOWS,Street Robbery,,,,,,,,,,,1,
CANYON MEADOWS,Violence  'Other' (Non-domestic),,,,,2,1,,,,,,1
CANYON MEADOWS,Residential Break & Enter,1,3,4,3,2,4,1,4,4,3,,1
CANYON MEADOWS,Commercial Break & Enter,1,,,2,,,1,2,,,,1
CANYON MEADOWS,Theft OF Vehicle,1,,1,,3,2,4,4,2,6,1,2
CANYON MEADOWS,Theft FROM Vehicle,3,1,5,2,4,3,7,9,5,3,7,3
CANYON MEADOWS,Social Disorder,32,22,27,29,27,28,44,39,24,18,42,20
CANYON MEADOWS,Physical Disorder,2,1,2,2,2,3,2,4,3,3,,1
,,,,,,,,,,,,,
CAPITOL HILL,Assault (Non-domestic),,1,,2,3,1,2,1,1,,1,
CAPITOL HILL,Commercial Robbery,1,,1,,,,,,,,,1
CAPITOL HILL,Street Robbery,,1,1,,,,,,,1,,
CAPITOL HILL,Violence  'Other' (Non-domestic),1,,,,1,,1,,,,2,
CAPITOL HILL,Residential Break & Enter,1,1,3,3,1,,1,,4,3,3,3
CAPITOL HILL,Commercial Break & Enter,1,1,2,,,,1,1,2,2,3,1
CAPITOL HILL,Theft OF Vehicle,3,3,3,,1,2,4,1,5,4,1,3
CAPITOL HILL,Theft FROM Vehicle,8,6,3,10,4,5,3,4,4,7,6,12
CAPITOL HILL,Social Disorder,46,30,46,30,35,41,47,39,31,32,37,17
CAPITOL HILL,Physical Disorder,2,1,1,7,3,4,2,4,4,2,1,2
,,,,,,,,,,,,,
CARRINGTON,Assault (Non-domestic),,,,,,,,,,,,
CARRINGTON,Commercial Robbery,,,,,,,,,,,,
CARRINGTON,Street Robbery,,,,,,,,,,,,
CARRINGTON,Violence  'Other' (Non-domestic),,,,,,,,,,,,
CARRINGTON,Residential Break & Enter,,,,,,,,,,,,
CARRINGTON,Commercial Break & Enter,,,,,,,,,,,,
CARRINGTON,Theft OF Vehicle,,,,,,,,,,,,
CARRINGTON,Theft FROM Vehicle,,,,,,,,,,,,
CARRINGTON,Social Disorder,1,,1,1,2,1,1,1,,1,,
CARRINGTON,Physical Disorder,,,,1,,,,,,,,
,,,,,,,,,,,,,
CASTLERIDGE,Assault (Non-domestic),3,1,1,2,6,1,1,3,1,1,2,3
CASTLERIDGE,Commercial Robbery,,,1,,,,,,,,,
CASTLERIDGE,Street Robbery,,,,1,,,1,,,,,
CASTLERIDGE,Violence  'Other' (Non-domestic),,1,,,1,1,,1,,2,,
CASTLERIDGE,Residential Break & Enter,1,2,2,1,2,3,1,3,5,3,1,1
CASTLERIDGE,Commercial Break & Enter,,2,,1,2,4,,,,,,
CASTLERIDGE,Theft OF Vehicle,2,4,3,2,4,7,4,3,7,3,4,10
CASTLERIDGE,Theft FROM Vehicle,9,5,5,7,2,4,2,4,1,4,7,2
CASTLERIDGE,Social Disorder,43,25,38,43,40,29,38,45,37,28,19,10
CASTLERIDGE,Physical Disorder,1,5,2,5,1,2,4,4,2,5,5,2
,,,,,,,,,,,,,
CEDARBRAE,Assault (Non-domestic),,,2,,,,,,,1,,
CEDARBRAE,Commercial Robbery,,,,,,,,,,,,
CEDARBRAE,Street Robbery,,,,,,,,,,,1,
CEDARBRAE,Violence  'Other' (Non-domestic),,,,1,,,,,1,,3,
CEDARBRAE,Residential Break & Enter,2,,2,1,1,3,,4,,,,1
CEDARBRAE,Commercial Break & Enter,,,,,,,,,3,,,
CEDARBRAE,Theft OF Vehicle,,1,,,,,,2,2,2,,1
CEDARBRAE,Theft FROM Vehicle,3,,,1,1,,6,5,3,11,2,2
CEDARBRAE,Social Disorder,16,20,14,16,18,29,22,17,22,18,19,13
CEDARBRAE,Physical Disorder,,,3,1,,1,3,2,2,4,,
,,,,,,,,,,,,,
CFB - CURRIE,Assault (Non-domestic),,,,,,,,,,,,
CFB - CURRIE,Commercial Robbery,,,,,,,,,,,,
CFB - CURRIE,Street Robbery,,,,,,,,,,,,
CFB - CURRIE,Violence  'Other' (Non-domestic),,,,,,1,,,,,,
CFB - CURRIE,Residential Break & Enter,,,1,,1,1,,1,,,,
CFB - CURRIE,Commercial Break & Enter,1,,1,2,,,,2,,,,
CFB - CURRIE,Theft OF Vehicle,,1,,,,1,,,,2,,
CFB - CURRIE,Theft FROM Vehicle,,1,,,1,3,1,,,1,1,1
CFB - CURRIE,Social Disorder,,1,,2,1,2,3,4,2,3,1,3
CFB - CURRIE,Physical Disorder,,,,,,1,,,,,,
,,,,,,,,,,,,,
CFB - LINCOLN PARK PMQ,Assault (Non-domestic),,,,,,,,1,,,,
CFB - LINCOLN PARK PMQ,Commercial Robbery,,,,,,,,,,,,
CFB - LINCOLN PARK PMQ,Street Robbery,,,,,,,,,,,,
CFB - LINCOLN PARK PMQ,Violence  'Other' (Non-domestic),,,,,,,,,,,,
CFB - LINCOLN PARK PMQ,Residential Break & Enter,,,1,,,,,,,,1,
CFB - LINCOLN PARK PMQ,Commercial Break & Enter,,,,,,,,,,,3,
CFB - LINCOLN PARK PMQ,Theft OF Vehicle,,,,,,,,,,,,
